,name,sku,selling_price,original_price,currency,availability,color,category,source,source_website,breadcrumbs,description,brand,country,average_rating,reviews_count,crawled_at,discount_amount,discount_percent
135,Ultraboost Slip-On DNA Shoes,H02815,108,180,USD,instock,White,Shoes,adidas United States,https://www.adidas.com,Women/Shoes,"Swift, light and even more effortless than before. These adidas Ultraboost running shoes have a slip-on design that gets you out the door fast and a soft upper that adapts to your foot for a barely-there feel. The Boost midsole returns energy endlessly as you rack up the miles and a flexible sole keeps your stride smooth over blacktop, dirt and slick surfaces. Whatever the distance, whatever the destination, enjoy the ride.

This product is made with Primeblue, a high-performance recycled material made in part with Parley Ocean Plastic. 50% of the upper is textile, 75% of the textile is Primeblue yarn. No virgin polyester.",adidas,USA,4.5,385,2021-10-23 17:50:37.082119,72,40.0
136,Bryony Shoes,H04641,64,80,USD,instock,White,Shoes,adidas United States,https://www.adidas.com,Women/Shoes,"Sleek, simple and full of slam dunk energy. Step out in these adidas shoes and stride smoothly in fresh style that got its start on the B-ball court. Whether you've got an impossible to-do list or a carefree weekend ahead of you, the women's specific fit ensures comfort at every step.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of upper is recycled content. No virgin polyester.",adidas,USA,4.4,44,2021-10-23 17:50:37.168294,16,20.0
137,Racer TR21 Shoes,GZ8185,60,75,USD,instock,Grey,Shoes,adidas United States,https://www.adidas.com,Men/Shoes,"Bring the comfort and athletic style of running footwear to your everyday look in these adidas shoes. Step through your day confidently with a snug fit and a lightweight midsole that cushions your feet with every step.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content. No virgin polyester.",adidas,USA,4.6,377,2021-10-23 17:50:37.254861,15,20.0
138,Racer TR21 Shoes,GZ8184,60,75,USD,instock,Black,Shoes,adidas United States,https://www.adidas.com,Men/Shoes,"Bring the comfort and athletic style of running footwear to your everyday look in these adidas shoes. Step through your day confidently with a snug fit and a lightweight midsole that cushions your feet with every step.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content. No virgin polyester.",adidas,USA,4.6,377,2021-10-23 17:50:37.766202,15,20.0
139,ZX 2K Boost Shoes,FX6530,84,120,USD,instock,Black,Shoes,adidas United States,https://www.adidas.com,Kids/Shoes,"If there was ever a time when culture and technology fueled each other, it's now. Which means the ZX series was ahead of the game back in the '80s. These juniors' adidas shoes carry on the legacy in a design that mixes bright colors and reflective details. Take a page out of the ZX playbook and change the game yourself. Boost ensures comfort as you do.",adidas,USA,4.8,80,2021-10-23 17:50:37.960903,36,30.0
140,Cloudfoam Pure 2.0  Shoes,H04756,63,70,USD,instock,White,Shoes,adidas United States,https://www.adidas.com,Women/Shoes,"Step into these shoes for crisp, clean style and comfort. Thanks to their heritage adidas vibes, these running-inspired trainers make it easy to look calm, cool and collected. Whether you're hanging out with friends or trying not to get frazzled as you tick off your weekend to-do list, stay comfortable through it all. 

This product is made with Primegreen, a series of high-performance recycled materials.",adidas,USA,4.4,594,2021-10-23 17:50:38.050369,7,10.0
141,Bryony Shoes,H04642,56,80,USD,instock,White,Shoes,adidas United States,https://www.adidas.com,Women/Shoes,"Sleek, simple and full of slam dunk energy. Step out in these adidas shoes and stride smoothly in fresh style that got its start on the B-ball court. Whether you've got an impossible to-do list or a carefree weekend ahead of you, the women's specific fit ensures comfort at every step.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of upper is recycled content. No virgin polyester.",adidas,USA,4.4,44,2021-10-23 17:50:38.138891,24,30.0
142,Cloudfoam Pure 2.0  Shoes,H00948,56,70,USD,instock,White,Shoes,adidas United States,https://www.adidas.com,Women/Shoes,"Step into these shoes for crisp, clean style and comfort. Thanks to their heritage adidas vibes, these running-inspired trainers make it easy to look calm, cool and collected. Whether you're hanging out with friends or trying not to get frazzled as you tick off your weekend to-do list, stay comfortable through it all. 

This product is made with Primegreen, a series of high-performance recycled materials.",adidas,USA,4.4,594,2021-10-23 17:50:38.223226,14,20.0
143,Bryony Shoes,Q46111,56,80,USD,instock,White,Shoes,adidas United States,https://www.adidas.com,Women/Shoes,"Sleek, simple and full of slam dunk energy. Step out in these adidas shoes and stride smoothly in fresh style that got its start on the B-ball court. Whether you've got an impossible to-do list or a carefree weekend ahead of you, the women's specific fit ensures comfort at every step.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of upper is recycled content. No virgin polyester.",adidas,USA,4.4,44,2021-10-23 17:50:38.308084,24,30.0
144,Cloudfoam Pure 2.0  Shoes,H00945,49,70,USD,instock,White,Shoes,adidas United States,https://www.adidas.com,Women/Shoes,"Step into these shoes for crisp, clean style and comfort. Thanks to their heritage adidas vibes, these running-inspired trainers make it easy to look calm, cool and collected. Whether you're hanging out with friends or trying not to get frazzled as you tick off your weekend to-do list, stay comfortable through it all. 

This product is made with Primegreen, a series of high-performance recycled materials.",adidas,USA,4.4,594,2021-10-23 17:50:38.390928,21,30.0
145,Pureboost 21 Shoes,GY5100,91,130,USD,instock,Blue,Shoes,adidas United States,https://www.adidas.com,Men/Shoes,"A training plan is only as good as the effort you put into its execution. These adidas running shoes support your dedication with the incredible energy-return of Boost. The upper is made with recycled materials, so your run will feel great in more ways than one. 

This shoe is made with high-performance recycled materials and features an upper made with 50% recycled content.",adidas,USA,4.2,77,2021-10-23 17:50:38.586053,39,30.0
146,Postmove Shoes,H00465,56,70,USD,instock,White,Shoes,adidas United States,https://www.adidas.com,Men/Shoes,"Take inspiration from the original adidas Forum. Lace up these basketball shoes for a throwback look you can rock all over town. Enjoy pillowy-soft midsole cushioning as soon as you slip your feet in.

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content.",adidas,USA,4.5,72,2021-10-23 17:50:38.678756,14,20.0
147,Ozelia Shoes,GX3667,90,100,USD,instock,Black,Shoes,adidas United States,https://www.adidas.com,Men/Shoes,"Remember the '90s? That era of flourishing technology and loud style? The inspiration for these adidas shoes starts there. Borrowing a progressive spirit from the past, they step boldly into the present with a sleek, fast look. But when you wear them, you actually look ready for the future. Thick Adiprene cushioning helps take you there in comfort.",adidas,USA,4.7,344,2021-10-23 17:50:38.768479,10,10.0
148,HER Studio London Adilette Slides,H00569,32,45,USD,instock,Red,Shoes,adidas United States,https://www.adidas.com,Women/Shoes,"The adidas Adilette Slides have always been about ease. Rushed for time? It takes seconds to slip them on. And style? Well, HER Studio London went ahead and took that even further with metallic pops clashing with checkered flashes.

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content.",adidas,USA,4.4,207,2021-10-23 17:50:38.851336,13,28.888888888888886
149,Cloudfoam Pure 2.0  Shoes,GV7307,56,70,USD,instock,White,Shoes,adidas United States,https://www.adidas.com,Women/Shoes,"Step into these shoes for crisp, clean style and comfort. Thanks to their heritage adidas vibes, these running-inspired trainers make it easy to look calm, cool and collected. Whether you're hanging out with friends or trying not to get frazzled as you tick off your weekend to-do list, stay comfortable through it all. 

This product is made with Primegreen, a series of high-performance recycled materials.",adidas,USA,4.4,594,2021-10-23 17:50:39.370257,14,20.0
150,Adilette Slides,GV7757,32,45,USD,instock,White,Shoes,adidas United States,https://www.adidas.com,Women/Shoes,"By the pool or on the street, slip into the legendary adidas slides that made sport sandals a style go-to. Soft color fades into a second color on the soft jelly bandage upper. The contoured footbed delivers the stability the Adilette is famous for.",adidas,USA,4.4,207,2021-10-23 17:50:39.461602,13,28.888888888888886
151,Ozelia Shoes,GX3631,90,100,USD,instock,Green,Shoes,adidas United States,https://www.adidas.com,Men/Shoes,"The best of the '90s isn't just on late night-television reruns. It's also here, distilled into these Ozelia Shoes. Loud and expressive, just like the era, they have a futuristic look fueled by adidas running DNA. Adiprene cushioning makes sure that wherever you're heading, you feel good long after you get there.",adidas,USA,4.7,344,2021-10-23 17:50:39.539184,10,10.0
152,Pureboost 21 Shoes,GY5099,91,130,USD,instock,White,Shoes,adidas United States,https://www.adidas.com,Men/Shoes,"A training plan is only as good as the effort you put into its execution. These adidas running shoes support your dedication with the incredible energy-return of Boost. The upper is made with recycled materials, so your run will feel great in more ways than one. 

This shoe is made with high-performance recycled materials and features an upper made with 50% recycled content.",adidas,USA,4.2,77,2021-10-23 17:50:39.638998,39,30.0
153,Adilette Slides,H00141,32,45,USD,instock,Black,Shoes,adidas United States,https://www.adidas.com,Women/Shoes,You can still wear these adidas slides in cool weather. Just add socks and rock it. Flowers up top are sure to keep you dreaming of sunny days and poolside lounging. When the sun finally does come out? These are ready for it.,adidas,USA,4.4,207,2021-10-23 17:50:39.719783,13,28.888888888888886
154,Marimekko Adilette Slides,GW7536,32,45,USD,instock,Black,Shoes,adidas United States,https://www.adidas.com,Women/Shoes,"When it comes to female empowerment, Marimekko doesn't just champion it, the Finnish brand was founded on it. On these Adilette slides two of our signature styles come together in a splash of colors. The classic adidas silhouette gets completely refreshed with the expressive wave graphic Marimekko created back in 1965. Still going strong.",adidas,USA,4.4,207,2021-10-23 17:50:39.813077,13,28.888888888888886
155,Adilette Slides,FX5923,32,45,USD,instock,Black,Shoes,adidas United States,https://www.adidas.com,Women/Shoes,Slip on these adidas slides over a pair of socks and take your favorite footwear outside. A polka-dot print on the soft bandage upper gives them a summery feel.,adidas,USA,4.4,207,2021-10-23 17:50:39.897005,13,28.888888888888886
156,Ozelia Shoes,H04248,90,100,USD,instock,White,Shoes,adidas United States,https://www.adidas.com,Men/Shoes,"We may be a long way from the '90s, but these Ozelia Shoes are rooted in that loud, experimental era. Inspired by the adidas archives, the bold sneakers have a chunky build that's all about being noticed. They're sleek with a fast look, and when your days are fast-paced, the Adiprene cushioning helps out on the comfort side of things.

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content.",adidas,USA,4.7,344,2021-10-23 17:50:39.979443,10,10.0
157,ZX 2K Boost 2.0 Shoes,GZ7745,105,150,USD,instock,Grey,Shoes,adidas United States,https://www.adidas.com,Men/Shoes,"Inspired by the digital and tactile satisfaction of our everyday. Reflective pops define the tech upper of the ZX 2K BOOST 2.0. Lace in, let the softness embrace your feet. The cushioning of wrapped Boost brings satisfaction to every step.",adidas,USA,4.7,183,2021-10-23 17:50:40.078511,45,30.0
158,ZX 2K Boost 2.0 Shoes,GZ7734,105,150,USD,instock,White,Shoes,adidas United States,https://www.adidas.com,Men/Shoes,"Inspired by the digital and tactile satisfaction of our everyday. Reflective pops define the tech upper of the ZX 2K BOOST 2.0. Lace in, let the softness embrace your feet. The cushioning of wrapped Boost brings satisfaction to every step.",adidas,USA,4.7,183,2021-10-23 17:50:40.271227,45,30.0
159,Badge of Sport Classic Tee (Plus size),HA3053,20,25,USD,instock,Green,Clothing,adidas United States,https://www.adidas.com,Women/Clothing,"Whether you're running to the gym or sprinting through your errands, you want to stay comfortable through it all. This adidas tee is made with moisture-absorbing AEROREADY to keep your back feeling dry. An elongated hem with side slits offers styling versatility.

By buying cotton products from us, you're supporting more sustainable cotton farming.",adidas,USA,4.3,27,2021-10-23 17:50:40.369236,5,20.0
160,ZX 2K Boost 2.0 Shoes,GY8283,105,150,USD,instock,Black,Shoes,adidas United States,https://www.adidas.com,Men/Shoes,"These adidas ZX shoes may not be about speed anymore, but the running-inspired style still has the look of it. Bright colors flow throughout the textile upper to add a spark of flavor to your daily moves. All of it rides on energy-returning Boost cushioning.

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content.",adidas,USA,4.7,183,2021-10-23 17:50:40.459310,45,30.0
161,Fleece Sweatshirt,S97358,18,30,USD,instock,Blue,Clothing,adidas United States,https://www.adidas.com,Men/Clothing,"As temperatures start to drop, this sweatshirt keeps you warmed up in soft fleece. The relaxed shape comfortably layers over your workout clothes. Sweat-wicking fabric helps you stay comfortable wherever the day takes you.",adidas,USA,4.8,53,2021-10-23 17:50:40.988340,12,40.0
162,Hyperglam Crop Crew Sweatshirt,HE9397,48,60,USD,instock,Black,Clothing,adidas United States,https://www.adidas.com,Women/Clothing,"The Hyperglam Crop Crew Sweatshirt is cozy proof that you can still rock the cropped silhouette trend even when the temperatures drop.​
​
The hem is the only thing falling short in your new favorite wardrobe essential. With comfort at the forefront, the flattering cropped length and relaxed fit make it a casual-cool choice post-Barre class or for when you're catching up with friends in the park.
​
Cut from an unbelievably soft cotton-blend fabric, the iconic 3-Stripes detailing and subtle branding further elevate this winter staple.
​
Wear yours with high-rise sweatpants for maximum style points, or layer over a leotard for additional coverage.",adidas,USA,4.7,25,2021-10-23 17:50:41.061522,12,20.0
163,Swift X Shoes,GX8386,60,85,USD,instock,White,Shoes,adidas United States,https://www.adidas.com,Women/Shoes,"If you're looking for versatility, look no further than these adidas Swift X Shoes. Because the streamlined, Colorful style means you can keep things subtle, or go big on the drama. Maybe a mix of both? The point is, it's your call, and these go with just about any outfit. In fact, we can't think of one it wouldn't go with. Who doesn't love a ball gown and sneakers? A statement is a statement no matter where you are.",adidas,USA,4.3,55,2021-10-23 17:50:41.146670,25,29.411764705882355
164,Hyperglam Crop Crew Sweatshirt,HF4154,48,60,USD,instock,Purple,Clothing,adidas United States,https://www.adidas.com,Women/Clothing,"The Hyperglam Crop Crew Sweatshirt is cozy proof that you can still rock the cropped silhouette trend even when the temperatures drop.​
​
The hem is the only thing falling short in your new favorite wardrobe essential. With comfort at the forefront, the flattering cropped length and relaxed fit make it a casual-cool choice post-Barre class or for when you're catching up with friends in the park.
​
Cut from an unbelievably soft cotton-blend fabric, the iconic 3-Stripes detailing and subtle branding further elevate this winter staple.
​
Wear yours with high-rise sweatpants for maximum style points, or layer over a leotard for additional coverage.",adidas,USA,4.7,25,2021-10-23 17:50:41.262121,12,20.0
165,Adilette Slides,H00142,32,45,USD,instock,White,Shoes,adidas United States,https://www.adidas.com,Women/Shoes,You can still wear these adidas slides in cool weather. Just add socks and rock it. Flowers up top are sure to keep you dreaming of sunny days and poolside lounging. When the sun finally does come out? These are ready for it.,adidas,USA,4.4,207,2021-10-23 17:50:41.349773,13,28.888888888888886
166,Swift X Shoes,GX8387,60,85,USD,instock,Red,Shoes,adidas United States,https://www.adidas.com,Women/Shoes,"If you're looking for versatility, look no further than these adidas Swift X Shoes. Because the streamlined, Colorful style means you can keep things subtle, or go big on the drama. Maybe a mix of both? The point is, it's your call, and these go with just about any outfit. In fact, we can't think of one it wouldn't go with. Who doesn't love a ball gown and sneakers? A statement is a statement no matter where you are.",adidas,USA,4.3,55,2021-10-23 17:50:41.424515,25,29.411764705882355
167,ZX 2K Boost 2.0 Shoes,GZ7733,105,150,USD,instock,Blue,Shoes,adidas United States,https://www.adidas.com,Men/Shoes,"Inspired by the digital and tactile satisfaction of our everyday. Reflective pops define the tech upper of the ZX 2K BOOST 2.0. Lace in, let the softness embrace your feet. The cushioning of wrapped Boost brings satisfaction to every step.",adidas,USA,4.7,183,2021-10-23 17:50:41.621320,45,30.0
168,adidas Sportswear Comfy & Chill Full Zip Hoodie,H45371,56,70,USD,instock,Grey,Clothing,adidas United States,https://www.adidas.com,Men/Clothing,"Make no mistake. Doing nothing is actually doing something. It's resetting. Unwinding. Rewarding all your hard work. So do nothing, or do something – and can we suggest doing it in this adidas hoodie? Because the ultra-soft French terry fabric provides one of the best rewards to it all: comfort. Settle in. It's easy to do with this sweatshirt.",adidas,USA,4.2,32,2021-10-23 17:50:41.706567,14,20.0
169,adidas Sportswear Seasonals Stadium Shorts,H47892,32,40,USD,instock,Black,Clothing,adidas United States,https://www.adidas.com,Women/Clothing,"Is there anything that says ease more than sweat shorts? What about comfort? The answer is no. Let us tell you why using these adidas shorts as an example. You've got ultra-cozy French terry material. An elastic, adjustable waist means personalized comfort. Plus they straight up just go practically anywhere. It's universally accepted. Pre-workout, post-session, that's about 23 hours a day you can be feeling good in these shorts.",adidas,USA,4.6,8,2021-10-23 17:50:41.789876,8,20.0
170,adidas Sportswear Future Icons Camo Graphic Sweatshirt,HA5836,48,60,USD,instock,Multicolor,Clothing,adidas United States,https://www.adidas.com,Men/Clothing,"Move from gym to work to home without skipping a beat in this adidas sweatshirt. Covered in a modern camouflage design, it brings stealth style to your everyday look. Soft cotton French terry keeps you comfortable every step of the way.

This product is made with Primegreen, a series of high-performance recycled materials.",adidas,USA,4.9,19,2021-10-23 17:50:41.988044,12,20.0
171,EQ21 Run Shoes,H00541,64,80,USD,instock,Grey,Shoes,adidas United States,https://www.adidas.com,Women/Shoes,"Log miles in confidence with these adidas running shoes. The breathable upper lets your feet stay fresh on long runs. Lightweight cushioning keeps a comfortable spring in your step from the first toe-off to the final heel strike. 

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content.",adidas,USA,4.4,152,2021-10-23 17:50:42.076132,16,20.0
172,Badge of Sport Classic Tee (Plus size),HA3052,20,25,USD,instock,Pink,Clothing,adidas United States,https://www.adidas.com,Women/Clothing,"Whether you're running to the gym or sprinting through your errands, you want to stay comfortable through it all. This adidas tee is made with moisture-absorbing AEROREADY to keep your back feeling dry. An elongated hem with side slits offers styling versatility.

By buying cotton products from us, you're supporting more sustainable cotton farming.",adidas,USA,4.3,27,2021-10-23 17:50:42.161437,5,20.0
173,EQ21 Run Shoes,GW8086,64,80,USD,instock,Purple,Shoes,adidas United States,https://www.adidas.com,Women/Shoes,"Log miles in confidence with these adidas running shoes. The breathable upper lets your feet stay fresh on long runs. Lightweight cushioning keeps a comfortable spring in your step from the first toe-off to the final heel strike. 

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content.",adidas,USA,4.4,152,2021-10-23 17:50:42.776962,16,20.0
174,adidas Sportswear Comfy & Chill Full Zip Hoodie,H45369,56,70,USD,instock,Black,Clothing,adidas United States,https://www.adidas.com,Men/Clothing,"Make no mistake. Doing nothing is actually doing something. It's resetting. Unwinding. Rewarding all your hard work. So do nothing, or do something – and can we suggest doing it in this adidas hoodie? Because the ultra-soft French terry fabric provides one of the best rewards to it all: comfort. Settle in. It's easy to do with this sweatshirt.",adidas,USA,4.2,32,2021-10-23 17:50:42.980811,14,20.0
175,Predators Long Sleeve Tee,H44967,24,30,USD,instock,Grey,Clothing,adidas United States,https://www.adidas.com,Men/Clothing,Go Predators! Represent Nashville in this adidas hockey t-shirt as your team protects the puck. Ultra-soft ringspun cotton gives it a smooth feel to match your enthusiasm.,adidas,USA,4.6,5,2021-10-23 17:50:43.100342,6,20.0
176,EQ21 Run Shoes,H00538,56,80,USD,instock,Grey,Shoes,adidas United States,https://www.adidas.com,Women/Shoes,"Log miles in confidence with these adidas running shoes. The breathable upper lets your feet stay fresh on long runs. Lightweight cushioning keeps a comfortable spring in your step from the first toe-off to the final heel strike. 

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content.",adidas,USA,4.4,152,2021-10-23 17:50:43.195698,24,30.0
177,adidas Equipment Tiro Track Pants,HA2442,40,50,USD,instock,Black,Clothing,adidas United States,https://www.adidas.com,Men/Clothing,"It's been three decades since adidas Equipment style made its indelible mark on soccer culture. To celebrate its larger-than-life look, these Tiro pants go all out with bold blocks of color down the sides and a two-tone adidas Badge of Sport on the hip. AEROREADY absorbs moisture, and a classic Tiro tapered fit keeps you streamlined in case you need to show off your fancy footwork.",adidas,USA,4.8,42,2021-10-23 17:50:43.287329,10,20.0
178,Badge of Sport Classic Tee (Plus size),HA3054,20,25,USD,instock,Purple,Clothing,adidas United States,https://www.adidas.com,Women/Clothing,"Whether you're running to the gym or sprinting through your errands, you want to stay comfortable through it all. This adidas tee is made with moisture-absorbing AEROREADY to keep your back feeling dry. An elongated hem with side slits offers styling versatility.

By buying cotton products from us, you're supporting more sustainable cotton farming.",adidas,USA,4.3,27,2021-10-23 17:50:43.363002,5,20.0
179,Fold-Cuff Crew Socks 3 Pairs,H32387,10,14,USD,instock,White,Accessories,adidas United States,https://www.adidas.com,Originals/Accessories,"Classic crew socks. Is there anything better? How about a touch of adidas attitude and the option to wear them two ways. Pull these socks up high to rep your brand pride, or fold down the cuff to flaunt a Trefoil on the other side. One up and one down? You've got options.

This product is made with recycled content as part of our ambition to end plastic waste.",adidas,USA,4.7,76,2021-10-23 17:50:43.458327,4,28.57142857142857
180,Fold-Cuff Crew Socks 3 Pairs,GN4894,9,14,USD,instock,White,Accessories,adidas United States,https://www.adidas.com,Originals/Accessories,"Classic crew socks. Is there anything better? How about a touch of adidas attitude and the option to wear them two ways. Pull these socks up high to rep your brand pride, or fold down the cuff to flaunt a Trefoil on the other side. One up and one down? You've got options.

This product is made with recycled content as part of our ambition to end plastic waste.",adidas,USA,4.7,76,2021-10-23 17:50:43.563634,5,35.714285714285715
181,adidas x Zoe Saldana Feelbrilliant AEROREADY 7/8 Printed Sport Tights,GS3917,40,50,USD,instock,Blue,Clothing,adidas United States,https://www.adidas.com,Women/Clothing,"Move through your day with total confidence in these adidas tights. A snug fit lets you bend and flex naturally, with coverage in all the right places. Stay feeling fresh and dry even after a sweaty workout and get on with your day without missing a beat.",adidas,USA,4.5,29,2021-10-23 17:50:43.649092,10,20.0
182,adidas Sleek Shoes,H00474,56,80,USD,instock,White,Shoes,adidas United States,https://www.adidas.com,Women/Shoes,"In collaboration with HER Studio London, these adidas Sleek Shoes keep things clean while adding a pop of color on the heel. Because it wouldn't be a collaboration with the women-led design studio if there wasn't a distinctive print. It's their signature, after all. Perforated 3-Stripes root the look in adidas heritage.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of upper is recycled content. No virgin polyester.",adidas,USA,4.6,608,2021-10-23 17:50:43.736680,24,30.0
183,Marimekko Oversize Tee,H20475,32,40,USD,instock,Black,Clothing,adidas United States,https://www.adidas.com,Women/Clothing,"Celebrate color. Celebrate you. Wrap up in a bright, bold print from Finnish design house Marimekko and dare to let your creative, colorful and absolutely unique voice shine. The loose cut and soft cotton of this adidas t-shirt keep you comfy while you're at it. 

By buying cotton products from us, you're supporting more sustainable cotton farming.",adidas,USA,4.8,47,2021-10-23 17:50:43.926870,8,20.0
184,Classic Waist Bag,GU0890,16,20,USD,instock,Black,Accessories,adidas United States,https://www.adidas.com,Training/Accessories,"When you've got ground to cover and places to be, you don't want to get bogged down by your gear. Travel fast and light with this adidas waist bag. Buckle it around your waist to go hands-free or sling it across your body to tie off your look. However you wear it, all your essentials will stay securely zipped inside. 

This product is made with recycled content as part of our ambition to end plastic waste.",adidas,USA,5.0,1,2021-10-23 17:50:44.523187,4,20.0
185,Cropped Letter Hoodie,H20233,52,65,USD,instock,Red,Clothing,adidas United States,https://www.adidas.com,Women/Clothing,"Play up casual style with a bold adidas graphic. This cropped hoodie takes your look to the next level with collegiate block lettering on the raglan sleeves. Soft French terry keeps you comfortable all day. Pair with a denim skirt and platform shoes for an outfit that feels effortlessly cool. 

By buying cotton products from us, you're supporting more sustainable cotton farming. This product is made with recycled content as part of our ambition to end plastic waste.",adidas,USA,4.2,5,2021-10-23 17:50:44.623616,13,20.0
186,AEROREADY Designed to Move Sport Motion Logo Hoodie,H28797,52,65,USD,instock,Grey,Clothing,adidas United States,https://www.adidas.com,Men/Clothing,"For the person who's always on the move, this training hoodie matches your busy lifestyle step for step. From a morning run to a chilly shootaround in the park, stay layered up and warm while moving freely and comfortably. The adidas Badge of Sport completes the sports-inspired, daily-wear look.",adidas,USA,4.8,89,2021-10-23 17:50:44.708183,13,20.0
187,Tensor Run Shoes,GZ2668,36,45,USD,instock,White,Shoes,adidas United States,https://www.adidas.com,Kids/Shoes,"One pair for every activity? In these kids' shoes, they'll stay comfortable everywhere they roam. The breathable upper keeps feet cool while a lightweight unitsole cushions their steps. Welded 3-Stripes on the sides are instantly recognizable.",adidas,USA,4.8,580,2021-10-23 17:50:44.809632,9,20.0
188,Supernova+ Shoes,FY2858,96,120,USD,instock,White,Shoes,adidas United States,https://www.adidas.com,Men/Shoes,"Take off. Touch down. Repeat. The process is simple, but not always easy. These adidas running shoes keep you comfortable from your first mile to your first race. The plus in the name refers to the extra Boost in the hybrid midsole, which gives this version of the Supernova more energy return. The engineered mesh upper provides support and ventilation where you need it most.",adidas,USA,4.5,275,2021-10-23 17:50:44.908891,24,20.0
189,Predator Freak.3 Turf Shoes,FY0623,64,80,USD,instock,Black,Shoes,adidas United States,https://www.adidas.com,Soccer/Shoes,"Walls can't contain you. Rivals can't hold you back. On the court, you're in control. Release your full force of nature in Predator Freak. Their supportive mid-cut design and grippy rubber outsole ensure these adidas soccer shoes keep you dominating on artificial turf. 3D-printed Demonscale elements spread further across their coated mesh upper to help you improve your mastery of the ball.",adidas,USA,4.5,214,2021-10-23 17:50:44.990139,16,20.0
190,Adicolor Classics Collegiate Cropped Hoodie,H37831,59,65,USD,instock,Pink,Clothing,adidas United States,https://www.adidas.com,Women/Clothing,"Ease takes many forms. One of them is this adidas hoodie. It's all about comfort with a super-soft feel, ribbed details and a hood you can pull up when you want to tune out from the world a little more. 

By buying cotton products from us, you're supporting more sustainable cotton farming.",adidas,USA,4.6,14,2021-10-23 17:50:45.073623,6,9.230769230769232
191,Waist Bag,H09044,19,23,USD,instock,Burgundy,Accessories,adidas United States,https://www.adidas.com,Women/Accessories,"If you appreciate the finer things, you'll appreciate the total glam of this adidas waist bag. Toss in your phone, keys and cash, buckle it on and walk out the door. When you do, you'll feel the spotlight on your every step, thanks to luxe satin and pops of gold.

This product is made with recycled content as part of our ambition to end plastic waste.",adidas,USA,4.6,29,2021-10-23 17:50:45.153936,4,17.391304347826086
192,Designed to Move High-Rise Sport Zebra 7/8 Tights,GR9652,36,45,USD,instock,Black,Clothing,adidas United States,https://www.adidas.com,Women/Clothing,"Lunge, twist and stretch through your full range of motion. These adidas training tights have a stretchy build that lets you move freely. The AEROREADY tights absorb moisture to keep you dry during rush hour at the gym. Tuck workout reminders into the back pocket where they're easy to access. 

This product is made with Primegreen, a series of high-performance recycled materials.",adidas,USA,3.7,20,2021-10-23 17:50:45.240720,9,20.0
193,Funny Dino Tee (Gender Neutral),H13478,25,35,USD,instock,White,Clothing,adidas United States,https://www.adidas.com,Men/Clothing,"You know that friend who always has a clever joke and a smile? The one who walks in a room and brings good vibes with them? Well, in this adidas t-shirt, that friend is you. Just look at the dino. He's downright prehistoric, and even he's having a good time. 

By buying cotton products from us, you're supporting more sustainable cotton farming.",adidas,USA,4.9,35,2021-10-23 17:50:45.320639,10,28.57142857142857
194,adidas x Classic LEGO® Track Suit,H26649,60,75,USD,instock,Blue,Clothing,adidas United States,https://www.adidas.com,Kids/Clothing,Unleash your little athlete's creativity and there's no limit to what they can accomplish. This kids' track suit is part of adidas' partnership with LEGO Group. Cotton-blend French terry keeps kids comfortable as they move. Bright primary colors and graphics nod to the LEGO® bricks that are an icon of childhood.,adidas,USA,5.0,6,2021-10-23 17:50:45.757012,15,20.0
195,QT Racer Sport Shoes,Q46321,52,65,USD,instock,Black,Shoes,adidas United States,https://www.adidas.com,Women/Shoes,"These adidas shoes give you a smooth ride all day long, from your morning run to afternoon errands and then a backyard hangout at night. The Lightmotion midsole delivers super-lightweight cushioning you'll truly appreciate as the hours pass. 

This product is made with Primeblue, a high-performance recycled material made in part with Parley Ocean Plastic. 50% of the upper is textile, 75% of the textile is Primeblue yarn. No virgin polyester.",adidas,USA,4.4,454,2021-10-23 17:50:45.980383,13,20.0
196,Predator Freak.3 Turf Shoes,FY1039,48,60,USD,instock,Black,Shoes,adidas United States,https://www.adidas.com,Kids/Shoes,"Walls can't contain you. Rivals can't hold you back. On the court, you're in control. Release your full force of nature in Predator Freak. These juniors' adidas turf soccer shoes dial up the stability with a supportive mid-cut design. 3D-printed Demonscale elements spread further across the synthetic upper to help you dominate the ball.",adidas,USA,4.7,117,2021-10-23 17:50:46.464758,12,20.0
